material_id,material_code,material_type,observations,adf_p_value,kpss_trend_p_value,stationarity_evidence,annual_power_ratio,seasonal_strength,annual_red_noise_p_value,annual_red_noise_fdr_p_value,annual_seasonality_evidence,interpretation
00b7d893-e1d2-5ae4-9037-6bbcbabd7a2c,PM-0002,packaging_material,72,0.058350585687647956,0.1,REJECTED,0.06510687604290427,0.23230353001979054,0.208955223880597,0.3235435724602792,REJECTED,"Stationarity is diagnostic, not a requirement for tree or neural candidates."
02787b58-04ae-531a-b3ad-080b9e4c50b1,PM-0010,packaging_material,72,0.0005152988886313197,0.1,SUPPORTED,0.03535387332361765,0.22869753336189558,0.21890547263681592,0.3283582089552239,REJECTED,"Stationarity is diagnostic, not a requirement for tree or neural candidates."
03ab1c51-d838-5b20-87d7-1e8521f314ab,RM-0023,raw_material,72,0.004916504340604661,0.1,SUPPORTED,0.030934788565279824,0.10784597387068728,0.39303482587064675,0.48970338182505196,REJECTED,"Stationarity is diagnostic, not a requirement for tree or neural candidates."
080ec360-fd1b-5893-8523-eafd99d58590,PM-0005,packaging_material,72,2.0496204039450624e-12,0.1,SUPPORTED,0.04725248041737338,0.04550007612391893,0.1890547263681592,0.3076144700227675,REJECTED,"Stationarity is diagnostic, not a requirement for tree or neural candidates."
0a853e63-b201-5e32-ba73-218f63cf4074,PM-0031,packaging_material,72,2.506970575081735e-09,0.1,SUPPORTED,0.04360291281192076,0.11032368748038623,0.1890547263681592,0.3076144700227675,REJECTED,"Stationarity is diagnostic, not a requirement for tree or neural candidates."
0aa50060-0f34-50b9-bf88-3ca1b1261624,RM-0046,raw_material,72,4.970818964093843e-10,0.058653157713200864,SUPPORTED,0.0548877864931468,0.46759026667411285,0.21890547263681592,0.3283582089552239,REJECTED,"Stationarity is diagnostic, not a requirement for tree or neural candidates."
0d0900c7-4097-5f8f-8929-8b83335847c0,PM-0023,packaging_material,72,2.0572156230342485e-14,0.1,SUPPORTED,0.044847706294404835,0.1324316807804259,0.19402985074626866,0.31044776119402984,REJECTED,"Stationarity is diagnostic, not a requirement for tree or neural candidates."
136a4555-01b2-55dd-aec0-d9978afed721,PM-0017,packaging_material,72,2.9688240837805886e-05,0.1,SUPPORTED,0.4684833870142394,0.6132064750465098,0.004975124378109453,0.02170963364993216,SUPPORTED,"Stationarity is diagnostic, not a requirement for tree or neural candidates."
1cdcd409-3e6b-5185-b62d-63b77a9bb1c2,RM-0032,raw_material,72,0.24481266584524658,0.1,REJECTED,0.11616327773626152,0.3859758860785446,0.014925373134328358,0.04477611940298508,SUPPORTED,"Stationarity is diagnostic, not a requirement for tree or neural candidates."
1e1dea34-20a4-5908-9c52-6f9c7b9fe148,FG-0008,product,72,9.088432627475694e-06,0.1,SUPPORTED,0.2840751981645325,0.5805910771645604,0.004975124378109453,0.02170963364993216,SUPPORTED,"Stationarity is diagnostic, not a requirement for tree or neural candidates."
